Symbol,Date,RS,RM,Sector,symbol,name,price,volume,%chg
PVR,2022-03-02,100.67594100224753,106.45839958339315,MEDIA,PVR.NS,PVR Limited,1549.80,153522,1.30
TV18,2022-03-02,102.72786405222902,109.04857383845321,MEDIA,TV18BRDCST.NS,TV18 Broadcast Limited,30.15,4524924,-0.66
ZEE,2022-03-02,101.12652099612836,104.77108085050416,MEDIA,ZEEL.NS,Zee Entertainment Enterprises Limited,211.45,1861568,-0.47
SAREGAMA,2022-03-02,101.7520328793536,103.54738982300255,MEDIA,SAREGAMA.NS,Saregama India Limited,329.10,182089,0.27
DISHTV,2022-03-02,100.98559287425296,104.2489083792154,MEDIA,DISHTV.NS,Dish TV India Limited,13.50,4854816,0.00
PVR,2022-03-03,100.55876710522155,107.15665035160694,MEDIA
TV18,2022-03-03,102.78934823857446,109.94877536960827,MEDIA
ZEE,2022-03-03,101.20601583545448,107.08185990647146,MEDIA
SAREGAMA,2022-03-03,102.26049402977635,104.08076380568083,MEDIA
DISHTV,2022-03-03,101.15023375897789,105.11150688777501,MEDIA
PVR,2022-03-04,100.2993753331494,106.9296304216215,MEDIA
TV18,2022-03-04,102.74389864467257,110.51378675108369,MEDIA
ZEE,2022-03-04,100.72010823968564,101.31579108820998,MEDIA
SAREGAMA,2022-03-04,102.66457411824096,105.09349341729434,MEDIA
DISHTV,2022-03-04,101.09124840856475,105.09013020920649,MEDIA
PVR,2022-03-07,100.08677226023009,103.00635615703513,MEDIA
TV18,2022-03-07,102.63147229592462,107.93504784195804,MEDIA
ZEE,2022-03-07,101.65264743339186,105.79169250752545,MEDIA
SAREGAMA,2022-03-07,102.86704711520792,106.05936011583803,MEDIA
DISHTV,2022-03-07,101.0378307639604,103.43520339322446,MEDIA
PVR,2022-03-08,100.6767090631011,105.40832810815488,MEDIA
TV18,2022-03-08,102.82532349257158,106.97667697511683,MEDIA
ZEE,2022-03-08,101.48091800060327,103.37410948676917,MEDIA
SAREGAMA,2022-03-08,102.87648298334528,105.47996505414937,MEDIA
DISHTV,2022-03-08,101.41443596395192,105.08935136651607,MEDIA
PVR,2022-03-09,100.77462954206048,105.77241715472704,MEDIA
TV18,2022-03-09,103.13400346455444,110.28586892678501,MEDIA
ZEE,2022-03-09,101.90656768020652,106.53653659812613,MEDIA
SAREGAMA,2022-03-09,103.00187995737397,105.26585172703957,MEDIA
DISHTV,2022-03-09,101.36104980156139,104.21356928347545,MEDIA
PVR,2022-03-10,100.79788896113753,105.5783897021478,MEDIA
TV18,2022-03-10,103.04826790798448,109.6960720524388,MEDIA
ZEE,2022-03-10,101.5510911301523,106.01717324890511,MEDIA
SAREGAMA,2022-03-10,103.17040095008375,105.01560128613342,MEDIA
DISHTV,2022-03-10,101.5355156774374,105.58293939628282,MEDIA
PVR,2022-03-11,100.86098768001014,105.47250661057767,MEDIA
TV18,2022-03-11,103.03278557407128,109.93653684532032,MEDIA
ZEE,2022-03-11,101.32416282395931,102.64167530696456,MEDIA
SAREGAMA,2022-03-11,103.38954897116722,106.81023021215059,MEDIA
DISHTV,2022-03-11,101.35389459929502,105.37594646232414,MEDIA
PVR,2022-03-14,100.94589064322064,106.90049288224111,MEDIA
TV18,2022-03-14,102.98868458883568,109.1472360837165,MEDIA
ZEE,2022-03-14,101.93115994594785,105.47954346236115,MEDIA
SAREGAMA,2022-03-14,103.2483938179916,108.09800708749962,MEDIA
DISHTV,2022-03-14,101.22621322899352,104.810853313886,MEDIA
PVR,2022-03-15,100.73787777107584,105.24421744366435,MEDIA
TV18,2022-03-15,103.03856726169872,110.0236170947997,MEDIA
ZEE,2022-03-15,101.83600045665159,105.93692150154203,MEDIA
SAREGAMA,2022-03-15,102.85044931828264,109.31924769650655,MEDIA
DISHTV,2022-03-15,101.24516682196023,104.05664615519088,MEDIA
PVR,2022-03-16,100.8695776032618,107.39304169580076,MEDIA
TV18,2022-03-16,102.98410254037292,109.15332562587786,MEDIA
ZEE,2022-03-16,101.62819093575754,105.09766149307606,MEDIA
SAREGAMA,2022-03-16,102.21244953976795,107.0958753555492,MEDIA
DISHTV,2022-03-16,101.46031635730759,105.3987495394787,MEDIA
PVR,2022-03-17,100.561133067066,103.86750084862875,MEDIA
TV18,2022-03-17,103.0332574209753,108.92494904364641,MEDIA
ZEE,2022-03-17,101.62744347901524,104.99633178494656,MEDIA
SAREGAMA,2022-03-17,102.01636185886498,105.98292782592121,MEDIA
DISHTV,2022-03-17,101.32658553101824,105.40342720433279,MEDIA
PVR,2022-03-21,100.97586890626837,106.67323171773316,MEDIA
TV18,2022-03-21,103.10966697106903,107.21449823765309,MEDIA
ZEE,2022-03-21,101.65170167237272,107.13564894199486,MEDIA
SAREGAMA,2022-03-21,102.04087414568728,105.11885928928163,MEDIA
DISHTV,2022-03-21,101.19181921259545,105.19909602626167,MEDIA
PVR,2022-03-22,100.81432266463378,105.42383425403278,MEDIA
TV18,2022-03-22,103.39069412090983,110.88089165086444,MEDIA
ZEE,2022-03-22,101.15050923455532,103.54734661926071,MEDIA
SAREGAMA,2022-03-22,102.23706858466757,106.58067892741514,MEDIA
DISHTV,2022-03-22,101.11012112415091,105.21384666702083,MEDIA
PVR,2022-03-23,100.90918968690205,105.19449524751366,MEDIA
TV18,2022-03-23,103.23380324583266,107.27849898746206,MEDIA
ZEE,2022-03-23,101.53189342048582,97.37212743821873,MEDIA
SAREGAMA,2022-03-23,102.14297984927767,106.06472318519529,MEDIA
DISHTV,2022-03-23,101.02467217644188,102.48114549861715,MEDIA
